label,country,admin1,lat,lon,pop,domain
"Utica, NY",US,New York,43.1009,-75.23266,61100,conus
"Terre Haute, IN",US,Indiana,39.4667,-87.41391,60825,conus
"Vineland, NJ",US,New Jersey,39.48623,-75.02573,60818,conus
"Grand Junction, CO",US,Colorado,39.06387,-108.55065,60358,conus
"Casper, WY",US,Wyoming,42.86663,-106.31308,60285,conus
"Great Falls, MT",US,Montana,47.50024,-111.30081,59638,conus
"Lancaster, PA",US,Pennsylvania,40.03788,-76.30551,59339,conus
"Idaho Falls, ID",US,Idaho,43.46658,-112.03414,59184,conus
"Dubuque, IA",US,Iowa,42.50056,-90.66457,58799,conus
"Ocala, FL",US,Florida,29.1872,-82.14009,58218,conus
"Kokomo, IN",US,Indiana,40.48643,-86.1336,57995,conus
"Grand Forks, ND",US,North Dakota,47.92526,-97.03285,57011,conus
"Manhattan, KS",US,Kansas,39.18361,-96.57167,56308,conus
"Rocky Mount, NC",US,North Carolina,35.93821,-77.79053,55806,conus
"Corvallis, OR",US,Oregon,44.56457,-123.26204,55780,conus
"Valdosta, GA",US,Georgia,30.83334,-83.28032,55724,conus
"Pocatello, ID",US,Idaho,42.8713,-112.44553,54441,conus
"East Pensacola Heights, FL",US,Florida,30.42881,-87.17997,54104,conus
"Lake Havasu City, AZ",US,Arizona,34.4839,-114.32245,53553,conus
"Delano, CA",US,California,35.76884,-119.24705,52733,conus
"Harrisonburg, VA",US,Virginia,38.44957,-78.86892,52538,conus
"La Crosse, WI",US,Wisconsin,43.80136,-91.23958,52306,conus
"Joplin, MO",US,Missouri,37.08423,-94.51328,51818,conus
"Enid, OK",US,Oklahoma,36.39559,-97.87839,51776,conus
"Casa Grande, AZ",US,Arizona,32.8795,-111.75735,51460,conus
"Grand Island, NE",US,Nebraska,40.92501,-98.34201,51440,conus
"Logan, UT",US,Utah,41.73549,-111.83439,50371,conus
"Harrisburg, PA",US,Pennsylvania,40.2737,-76.88442,50183,conus
"Galveston, TX",US,Texas,29.30135,-94.7977,50180,conus
"Monroe, LA",US,Louisiana,32.50931,-92.1193,49598,conus
"Minot, ND",US,North Dakota,48.23251,-101.29627,49450,conus
"Saginaw, MI",US,Michigan,43.41947,-83.95081,49347,conus
"Coeur d'Alene, ID",US,Idaho,47.67768,-116.78047,49122,conus
"Stillwater, OK",US,Oklahoma,36.11561,-97.05837,48967,conus
"Sheboygan, WI",US,Wisconsin,43.75083,-87.71453,48797,conus
"Roswell, NM",US,New Mexico,33.39437,-104.52491,48544,conus
"Newark, OH",US,Ohio,40.05812,-82.40126,47986,conus
"Alexandria, LA",US,Louisiana,31.31129,-92.44514,47889,conus
"Barnstable, MA",US,Massachusetts,41.70011,-70.29947,47821,conus
"Salina, KS",US,Kansas,38.84028,-97.61142,47813,conus
"Twin Falls, ID",US,Idaho,42.56297,-114.46087,47468,conus
"Charleston, WV",US,West Virginia,38.34982,-81.63262,46838,conus
"Mansfield, OH",US,Ohio,40.75839,-82.51545,46830,conus
"Hattiesburg, MS",US,Mississippi,31.32712,-89.29034,46805,conus
"Columbus, IN",US,Indiana,39.20144,-85.92138,46690,conus
"Charlottesville, VA",US,Virginia,38.02931,-78.47668,46597,conus
"Binghamton, NY",US,New York,42.09869,-75.91797,46032,conus
"Titusville, FL",US,Florida,28.61222,-80.80755,45393,conus
"Altoona, PA",US,Pennsylvania,40.51868,-78.39474,45344,conus
"Pine Bluff, AR",US,Arkansas,34.22843,-92.0032,44772,conus
"El Centro, CA",US,California,32.792,-115.56305,43956,conus
"Augusta, GA",US,Georgia,33.47097,-81.97484,43459,conus
"Bozeman, MT",US,Montana,45.67965,-111.03856,43405,conus
"Sierra Vista, AZ",US,Arizona,31.55454,-110.30369,43355,conus
"Pittsfield, MA",US,Massachusetts,42.45008,-73.24538,43303,conus
"Farmington, NM",US,New Mexico,36.72806,-108.21869,42871,conus
"Burlington, VT",US,Vermont,44.47588,-73.21207,42452,conus
"Prescott Valley, AZ",US,Arizona,34.61002,-112.31572,42197,conus
"State College, PA",US,Pennsylvania,40.79339,-77.86,42161,conus
"Danville, VA",US,Virginia,36.58597,-79.39502,42082,conus
"Hutchinson, KS",US,Kansas,38.06084,-97.92977,41569,conus
"Findlay, OH",US,Ohio,41.04422,-83.64993,41149,conus
"Mankato, MN",US,Minnesota,44.15906,-94.00915,41044,conus
"Huntsville, TX",US,Texas,30.72353,-95.55078,40938,conus
"Sumter, SC",US,South Carolina,33.92044,-80.34147,40816,conus
"Quincy, IL",US,Illinois,39.9356,-91.40987,40780,conus
"Sherman, TX",US,Texas,33.63566,-96.60888,40667,conus
"Hickory, NC",US,North Carolina,35.73319,-81.3412,40374,conus
"Florence, AL",US,Alabama,34.79981,-87.67725,40026,conus
"Norwich, CT",US,Connecticut,41.52426,-72.07591,39899,conus
"Meridian, MS",US,Mississippi,32.36431,-88.70366,39661,conus
"Clovis, NM",US,New Mexico,34.4048,-103.20523,39480,conus
"Cape Girardeau, MO",US,Missouri,37.30588,-89.51815,39462,conus
"Bullhead City, AZ",US,Arizona,35.14778,-114.5683,39445,conus
"Dover, DE",US,Delaware,39.15817,-75.52437,39403,conus
"Atlantic City, NJ",US,New Jersey,39.36415,-74.42306,39260,conus
"Wausau, WI",US,Wisconsin,44.95914,-89.63012,39094,conus
"Gainesville, GA",US,Georgia,34.29788,-83.82407,38712,conus
"Muskogee, OK",US,Oklahoma,35.74788,-95.36969,38456,conus
"Hobbs, NM",US,New Mexico,32.70261,-103.13604,38416,conus
"Muskegon, MI",US,Michigan,43.23418,-86.24839,38401,conus
"Panama City, FL",US,Florida,30.15946,-85.65983,38286,conus
"Florence, SC",US,South Carolina,34.19543,-79.76256,38228,conus
"Lima, OH",US,Ohio,40.74255,-84.10523,37873,conus
"Texarkana, TX",US,Texas,33.42513,-94.04769,37280,conus
"Longview, WA",US,Washington,46.13817,-122.93817,36848,conus
"Columbia, TN",US,Tennessee,35.61507,-87.03528,36800,conus
"Portage, IN",US,Indiana,41.57587,-87.17615,36738,conus
"Bartlesville, OK",US,Oklahoma,36.74731,-95.98082,36595,conus
"Pahrump, NV",US,Nevada,36.20829,-115.98391,36441,conus
"Marion, OH",US,Ohio,40.58867,-83.12852,36363,conus
"Lufkin, TX",US,Texas,31.33824,-94.7291,36333,conus
"Rome, GA",US,Georgia,34.25704,-85.16467,36323,conus
"Lewiston, ME",US,Maine,44.10035,-70.21478,36202,conus
"Del Rio, TX",US,Texas,29.36273,-100.89676,36153,conus
"Gadsden, AL",US,Alabama,34.01434,-86.00639,36084,conus
"Richmond, IN",US,Indiana,39.82894,-84.89024,35854,conus
"Goldsboro, NC",US,North Carolina,35.38488,-77.99277,35826,conus
"Linton Hall, VA",US,Virginia,38.75984,-77.57499,35725,conus
"Tupelo, MS",US,Mississippi,34.25807,-88.70464,35680,conus
"Hot Springs, AR",US,Arkansas,34.5037,-93.05518,35635,conus
"Rosenberg, TX",US,Texas,29.55718,-95.80856,35510,conus
"Houma, LA",US,Louisiana,29.59577,-90.71953,34287,conus
"Butte, MT",US,Montana,46.00382,-112.53474,34190,conus
"Salisbury, NC",US,North Carolina,35.67097,-80.47423,34017,conus
"Newark, DE",US,Delaware,39.68372,-75.74966,33817,conus
"Wenatchee, WA",US,Washington,47.42346,-120.31035,33636,conus
"Hinesville, GA",US,Georgia,31.84688,-81.59595,33398,conus
"Jackson, MI",US,Michigan,42.24587,-84.40135,33133,conus
"Kearney, NE",US,Nebraska,40.69946,-99.08148,33021,conus
"Kiryas Joel, NY",US,New York,41.34204,-74.16792,32954,conus
"Salisbury, MD",US,Maryland,38.36067,-75.59937,32899,conus
"Pullman, WA",US,Washington,46.73127,-117.17962,32816,conus
"Gillette, WY",US,Wyoming,44.29109,-105.50222,32649,conus
"Santa Rosa Beach, FL",US,Florida,30.39603,-86.22883,32459,conus
"Bangor, ME",US,Maine,44.79884,-68.77265,32391,conus
"Fairbanks, AK",US,Alaska,64.83778,-147.71639,32325,na
"Walla Walla, WA",US,Washington,46.06458,-118.34302,32237,conus
"Laramie, WY",US,Wyoming,41.31137,-105.5911,32158,conus
"Greenville, MS",US,Mississippi,33.40898,-91.05978,32156,conus
"Cookeville, TN",US,Tennessee,36.16284,-85.50164,32113,conus
"Danville, IL",US,Illinois,40.12448,-87.63002,32108,conus
"Helena, MT",US,Montana,46.59271,-112.03611,32091,conus
"West Bend, WI",US,Wisconsin,43.42528,-88.18343,31695,conus
"Juneau, AK",US,Alaska,58.30194,-134.41972,31555,na
"Shawnee, OK",US,Oklahoma,35.32729,-96.9253,31286,conus
"Galesburg, IL",US,Illinois,40.94782,-90.37124,31273,conus
"Myrtle Beach, SC",US,South Carolina,33.68906,-78.88669,31035,conus
"Parkersburg, WV",US,West Virginia,39.26674,-81.56151,30991,conus
"Banning, CA",US,California,33.92557,-116.87641,30945,conus
"Dover, NH",US,New Hampshire,43.19786,-70.87367,30880,conus
"Ithaca, NY",US,New York,42.44063,-76.49661,30788,conus
"Alamogordo, NM",US,New Mexico,32.89953,-105.96027,30753,conus
"Statesboro, GA",US,Georgia,32.44879,-81.78317,30721,conus
"Morgantown, WV",US,West Virginia,39.62953,-79.9559,30708,conus
"Cedar City, UT",US,Utah,37.67748,-113.06189,30184,conus
"Jamestown, NY",US,New York,42.097,-79.23533,30075,conus
"New Bern, NC",US,North Carolina,35.10849,-77.04411,30070,conus
"Atascadero, CA",US,California,35.48942,-120.67073,29819,conus
"Elizabethtown, KY",US,Kentucky,37.69395,-85.85913,29678,conus
"LaGrange, GA",US,Georgia,33.03929,-85.03133,29588,conus
"Morristown, TN",US,Tennessee,36.21398,-83.29489,29478,conus
"Port Huron, MI",US,Michigan,42.97086,-82.42491,29330,conus
"Williamsport, PA",US,Pennsylvania,41.24119,-77.00108,29201,conus
"Russellville, AR",US,Arkansas,35.27842,-93.13379,29166,conus
"Sanford, NC",US,North Carolina,35.47988,-79.1803,29144,conus
"Carlsbad, NM",US,New Mexico,32.42067,-104.22884,28957,conus
"Kingman, AZ",US,Arizona,35.18944,-114.05301,28912,conus
"Big Spring, TX",US,Texas,32.2504,-101.47874,28862,conus
"Ridgecrest, CA",US,California,35.62246,-117.6709,28780,conus
"Eagle Pass, TX",US,Texas,28.70914,-100.49952,28765,conus
"Elmira, NY",US,New York,42.0898,-76.80773,28213,conus
"Fredericksburg, VA",US,Virginia,38.30318,-77.46054,28118,conus
"Aberdeen, SD",US,South Dakota,45.4647,-98.48648,28102,conus
"Bella Vista, AR",US,Arkansas,36.4807,-94.27134,27999,conus
"Enterprise, AL",US,Alabama,31.31517,-85.85522,27978,conus
"Slidell, LA",US,Louisiana,30.27519,-89.78117,27942,conus
"Dodge City, KS",US,Kansas,37.7528,-100.01708,27912,conus
"Shirley, NY",US,New York,40.80149,-72.8676,27854,conus
"Saratoga Springs, NY",US,New York,43.08313,-73.78457,27765,conus
"Wheeling, WV",US,West Virginia,40.06396,-80.72091,27648,conus
"Marshalltown, IA",US,Iowa,42.04943,-92.90798,27620,conus
"Lake Jackson, TX",US,Texas,29.03386,-95.43439,27533,conus
"Mason City, IA",US,Iowa,43.15357,-93.20104,27366,conus
"Anderson, SC",US,South Carolina,34.50344,-82.65013,27335,conus
"Winchester, VA",US,Virginia,39.18566,-78.16333,27284,conus
"Eureka, CA",US,California,40.80207,-124.16367,27017,conus
"Garden City, KS",US,Kansas,37.97169,-100.87266,27005,conus
"Williston, ND",US,North Dakota,48.14697,-103.61797,26977,conus
"Watertown, NY",US,New York,43.97478,-75.91076,26780,conus
"Wooster, OH",US,Ohio,40.80517,-81.93646,26749,conus
"Kankakee, IL",US,Illinois,41.12003,-87.86115,26676,conus
"Stevens Point, WI",US,Wisconsin,44.52358,-89.57456,26604,conus
"Greenville, TX",US,Texas,33.13845,-96.11081,26515,conus
"Fremont, NE",US,Nebraska,41.43333,-96.49808,26474,conus
"Carbondale, IL",US,Illinois,37.72727,-89.21675,26399,conus
"Kingsville, TX",US,Texas,27.51587,-97.85611,26225,conus
"Clinton, IA",US,Iowa,41.84447,-90.18874,26064,conus
"Mount Pleasant, MI",US,Michigan,43.59781,-84.76751,26060,conus
"Twentynine Palms, CA",US,California,34.13556,-116.05417,26025,conus
"Key West, FL",US,Florida,24.55524,-81.78163,25755,conus
"Owatonna, MN",US,Minnesota,44.08385,-93.22604,25725,conus
"Canton, GA",US,Georgia,34.23676,-84.49076,25469,conus
"Burlington, IA",US,Iowa,40.80754,-91.11292,25410,conus
"Starkville, MS",US,Mississippi,33.45049,-88.81961,25366,conus
"Sandusky, OH",US,Ohio,41.44894,-82.70796,25212,conus
"Ardmore, OK",US,Oklahoma,34.17426,-97.14363,25176,conus
"Athens, OH",US,Ohio,39.32924,-82.10126,25044,conus
"Paducah, KY",US,Kentucky,37.08339,-88.60005,24864,conus
"Paris, TX",US,Texas,33.66094,-95.55551,24782,conus
"Emporia, KS",US,Kansas,38.4039,-96.18166,24649,conus
"Ottumwa, IA",US,Iowa,41.02001,-92.4113,24624,conus
"Norfolk, NE",US,Nebraska,42.02834,-97.417,24366,conus
"Searcy, AR",US,Arkansas,35.25064,-91.73625,24196,conus
"North Platte, NE",US,Nebraska,41.12389,-100.76542,24194,conus
"Rock Springs, WY",US,Wyoming,41.58746,-109.2029,23962,conus
"Corsicana, TX",US,Texas,32.09543,-96.46887,23952,conus
"Dickinson, ND",US,North Dakota,46.87918,-102.78962,23765,conus
"Brookings, SD",US,South Dakota,44.31136,-96.79839,23657,conus
"Gallup, NM",US,New Mexico,35.52808,-108.74258,23240,conus
"Kerrville, TX",US,Texas,30.04743,-99.14032,23136,conus
"Oxford, MS",US,Mississippi,34.3665,-89.51925,22314,conus
"Roseburg, OR",US,Oregon,43.2165,-123.34174,22114,conus
"Moses Lake, WA",US,Washington,47.13014,-119.27808,22082,conus
"Kalispell, MT",US,Montana,48.19579,-114.31291,22052,conus
"Sedalia, MO",US,Missouri,38.70446,-93.22826,21516,conus
"Klamath Falls, OR",US,Oregon,42.22487,-121.78167,21399,conus
"Marquette, MI",US,Michigan,46.54354,-87.39542,21297,conus
"Conda, ID",US,Idaho,42.72825,-111.53245,21260,conus
"Hays, KS",US,Kansas,38.87918,-99.32677,21092,conus
"Liberal, KS",US,Kansas,37.04308,-100.921,20746,conus
"Elko, NV",US,Nevada,40.83242,-115.76312,20279,conus
"Stephenville, TX",US,Texas,32.2207,-98.20226,20120,conus
"Rolla, MO",US,Missouri,37.95143,-91.77127,20019,conus
"Willmar, MN",US,Minnesota,45.12191,-95.04334,19638,conus
"Port Angeles, WA",US,Washington,48.11815,-123.43074,19448,conus
"Altus, OK",US,Oklahoma,34.63813,-99.33398,19214,conus
"Blythe, CA",US,California,33.6103,-114.59635,19208,conus
"Montrose, CO",US,Colorado,38.47832,-107.87617,19062,conus
"Brownwood, TX",US,Texas,31.70932,-98.99116,19031,conus
"El Dorado, AR",US,Arkansas,33.20763,-92.66627,18386,conus
"Natchitoches, LA",US,Louisiana,31.76072,-93.08627,18365,conus
"McAlester, OK",US,Oklahoma,34.93343,-95.76971,18310,conus
"Farmington, MO",US,Missouri,37.78088,-90.42179,18181,conus
"Pampa, TX",US,Texas,35.53616,-100.95987,18177,conus
"Vincennes, IN",US,Indiana,38.67727,-87.52863,18012,conus
"Sheridan, WY",US,Wyoming,44.79719,-106.95618,17873,conus
"Kirksville, MO",US,Missouri,40.19475,-92.58325,17520,conus
"Poplar Bluff, MO",US,Missouri,36.757,-90.39289,17266,conus
"Clarksdale, MS",US,Mississippi,34.20011,-90.57093,16847,conus
"Douglas, AZ",US,Arizona,31.34455,-109.54534,16592,conus
"Coalinga, CA",US,California,36.13968,-120.36015,16564,conus
"Uvalde, TX",US,Texas,29.20968,-99.78617,16476,conus
"Aberdeen, WA",US,Washington,46.97537,-123.81572,16276,conus
"Hibbing, MN",US,Minnesota,47.42715,-92.93769,16204,conus
"Dublin, GA",US,Georgia,32.54044,-82.90375,16197,conus
"Brunswick, GA",US,Georgia,31.15013,-81.49147,16157,conus
"Mount Pleasant, TX",US,Texas,33.15679,-94.96827,16051,conus
